country,node,bus,profile_type,name,total_load__mwh,carrier,year
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,LV_LOAD,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_LV_LOAD,446789.55,Electricity,2025
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_LVELEC,LV_LOAD,MX_BCS_N51_LA_PAZ_LVELEC_LV_LOAD,1212061.96,Electricity,2025
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_LVELEC,LV_LOAD,MX_BCS_N52_LOS_CABOS_LVELEC_LV_LOAD,2101104.38,Electricity,2025
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_LVELEC,LV_LOAD,MX_BCS_N53_MULEGE_LVELEC_LV_LOAD,188950.68,Electricity,2025
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,LV_LOAD,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_LV_LOAD,565064.53,Electricity,2030
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_LVELEC,LV_LOAD,MX_BCS_N51_LA_PAZ_LVELEC_LV_LOAD,1383475.22,Electricity,2030
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_LVELEC,LV_LOAD,MX_BCS_N52_LOS_CABOS_LVELEC_LV_LOAD,2689369.75,Electricity,2030
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_LVELEC,LV_LOAD,MX_BCS_N53_MULEGE_LVELEC_LV_LOAD,239367.62,Electricity,2030
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,LV_LOAD,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_LV_LOAD,713879.69,Electricity,2035
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_LVELEC,LV_LOAD,MX_BCS_N51_LA_PAZ_LVELEC_LV_LOAD,1607371.4,Electricity,2035
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_LVELEC,LV_LOAD,MX_BCS_N52_LOS_CABOS_LVELEC_LV_LOAD,3443947.18,Electricity,2035
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_LVELEC,LV_LOAD,MX_BCS_N53_MULEGE_LVELEC_LV_LOAD,296277.5,Electricity,2035
