country,name,class,2025,2030,2035,2040,2045,2050
MX,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_PHOT,Generator,0,0,0,0,0,0
MX,MX_BCS_N51_LA_PAZ_HVELEC_PHOT,Generator,0,0,0,0,0,0
MX,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_RTPV,Generator,0,0,0,0,0,0
MX,MX_BCS_N51_LA_PAZ_LVELEC_RTPV,Generator,0,0,0,0,0,0
MX,MX_BCS_N52_LOS_CABOS_LVELEC_RTPV,Generator,0,0,0,0,0,0
MX,MX_BCS_N51_LA_PAZ_HVELEC_WTON,Generator,0,0,0,0,0,0
MX,MX_BCS_N53_MULEGE_HVELEC_GEOT,Generator,0,0,0,0,0,0
MX,MX_OILN_to_MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_by_OILT,Link,0,0,0,0,0,0
MX,MX_OILN_to_MX_BCS_N51_LA_PAZ_HVELEC_by_OILT,Link,0,0,0,0,0,0
MX,MX_GASN_to_MX_BCS_N51_LA_PAZ_HVELEC_by_OCGT,Link,0,0,0,0,0,0
MX,MX_OILN_to_MX_BCS_N52_LOS_CABOS_HVELEC_by_OILT,Link,0,0,0,0,0,0
MX,MX_GASN_to_MX_BCS_N52_LOS_CABOS_HVELEC_by_OCGT,Link,0,0,0,0,0,0
MX,MX_OILN_to_MX_BCS_N53_MULEGE_HVELEC_by_OILT,Link,0,0,0,0,0,0
