powerplant_type,cap__usd_mw,fom__usd_mwa,vom__usd_mwh,life__years,country,year,source
BATS,311359.3197,38776.78245,0.0,20,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
BATS,317383.9866,32503.81849,0.0,25,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
BATS,306440.749,29997.42405,0.0,25,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
BATS,184000.0,0.0,2.0,25,MX,2040,CopiedFromTemplate_XY
BATS,184000.0,0.0,2.0,25,MX,2045,CopiedFromTemplate_XY
BATS,69000.0,0.0,1.8,30,MX,2050,CopiedFromTemplate_XY
BIOT,1717000.0,47500.0,3.0,25,MX,2025,CopiedFromTemplate_XY
BIOT,1645000.0,45500.0,3.0,25,MX,2030,CopiedFromTemplate_XY
BIOT,1645000.0,45500.0,3.0,25,MX,2035,CopiedFromTemplate_XY
BIOT,1645000.0,45500.0,3.0,25,MX,2040,CopiedFromTemplate_XY
BIOT,1538000.0,42550.0,3.0,25,MX,2045,CopiedFromTemplate_XY
BIOT,1430000.0,39600.0,3.0,25,MX,2050,CopiedFromTemplate_XY
CCGT,1451322.528,33500.0,2.12,35,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
CCGT,1391374.394,31800.0,2.04,35,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
CCGT,1331536.103,30100.0,1.96,35,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
CCGT,878000.0,22000.0,2.0,35,MX,2040,CopiedFromTemplate_XY
CCGT,878000.0,22000.0,2.0,35,MX,2045,CopiedFromTemplate_XY
