class,country,name,type,bus,technical_potential__mw
Generator,MX,N53_MULEGE_HVELEC_GEOT,GEOT,N53_MULEGE_HVELEC,10.0
Generator,MX,N50_VILLA_CONSTITUCION_HVELEC_PHOT,PHOT,N50_VILLA_CONSTITUCION_HVELEC,191.7
Generator,MX,N51_LA_PAZ_HVELEC_PHOT,PHOT,N51_LA_PAZ_HVELEC,55.0
Generator,MX,N52_LOS_CABOS_HVELEC_PHOT,PHOT,N52_LOS_CABOS_HVELEC,140.5
Generator,MX,N53_MULEGE_HVELEC_PHOT,PHOT,N53_MULEGE_HVELEC,1.0
Generator,MX,N50_VILLA_CONSTITUCION_LVELEC_RTPV,RTPV,N50_VILLA_CONSTITUCION_LVELEC,15.975
Generator,MX,N51_LA_PAZ_LVELEC_RTPV,RTPV,N51_LA_PAZ_LVELEC,39.58
Generator,MX,N52_LOS_CABOS_LVELEC_RTPV,RTPV,N52_LOS_CABOS_LVELEC,70.115
Generator,MX,N53_MULEGE_LVELEC_RTPV,RTPV,N53_MULEGE_LVELEC,0.0
Generator,MX,N51_LA_PAZ_HVELEC_WTON,WTON,N51_LA_PAZ_HVELEC,50.4
