storage_type,cap__usd_mwh,fom__usd_mwh,vom__usd_mwh,life__years,country,year,source
BATS,309927.9946,9694.1956125,0.0,20,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (BATT energy: $/kWh)
BATS,245692.1883,8125.9546225,0.0,25,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (BATT energy: $/kWh)
BATS,223364.0532,7499.356012499999,0.0,25,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (BATT energy: $/kWh)
BATS,160000.0,300.0,0.0,25,MX,2040,CopiedFromTemplate_XY
BATS,160000.0,300.0,0.0,25,MX,2045,CopiedFromTemplate_XY
BATS,86000.0,150.0,0.0,30,MX,2050,CopiedFromTemplate_XY
CO2STOR,2550.0,90.0,0.0,100,MX,2025,CopiedFromTemplate_XY
CO2STOR,2550.0,90.0,0.0,100,MX,2030,CopiedFromTemplate_XY
CO2STOR,2550.0,90.0,0.0,100,MX,2035,CopiedFromTemplate_XY
CO2STOR,2550.0,90.0,0.0,100,MX,2040,CopiedFromTemplate_XY
CO2STOR,2550.0,90.0,0.0,100,MX,2045,CopiedFromTemplate_XY
CO2STOR,2550.0,90.0,0.0,100,MX,2050,CopiedFromTemplate_XY
HHBS,400000.0,930.0,0.0,20,MX,2025,CopiedFromTemplate_XY
HHBS,240000.0,465.0,0.0,20,MX,2030,CopiedFromTemplate_XY
HHBS,240000.0,465.0,0.0,20,MX,2035,CopiedFromTemplate_XY
HHBS,240000.0,465.0,0.0,20,MX,2040,CopiedFromTemplate_XY
HHBS,240000.0,465.0,0.0,20,MX,2045,CopiedFromTemplate_XY
HHBS,130000.0,230.0,0.0,20,MX,2050,CopiedFromTemplate_XY
HPHS,200000.0,1000.0,0.0,50,MX,2025,CopiedFromTemplate_XY
HPHS,200000.0,1000.0,0.0,50,MX,2030,CopiedFromTemplate_XY
HPHS,200000.0,1000.0,0.0,50,MX,2035,CopiedFromTemplate_XY
HPHS,200000.0,1000.0,0.0,50,MX,2040,CopiedFromTemplate_XY
HPHS,200000.0,1000.0,0.0,50,MX,2045,CopiedFromTemplate_XY
HPHS,200000.0,1000.0,0.0,50,MX,2050,CopiedFromTemplate_XY
HYD,750.0,2.0,0.0,20,MX,2025,CopiedFromTemplate_XY
HYD,750.0,2.0,0.0,20,MX,2030,CopiedFromTemplate_XY
HYD,750.0,2.0,0.0,20,MX,2035,CopiedFromTemplate_XY
HYD,750.0,2.0,0.0,20,MX,2040,CopiedFromTemplate_XY
HYD,750.0,2.0,0.0,20,MX,2045,CopiedFromTemplate_XY
HYD,750.0,2.0,0.0,20,MX,2050,CopiedFromTemplate_XY
INLHSTOR,40000.0,600.0,0.0,30,MX,2025,CopiedFromTemplate_XY
INLHSTOR,35000.0,500.0,0.0,30,MX,2030,CopiedFromTemplate_XY
INLHSTOR,30000.0,400.0,0.0,30,MX,2035,CopiedFromTemplate_XY
INLHSTOR,28000.0,400.0,0.0,30,MX,2040,CopiedFromTemplate_XY
INLHSTOR,25000.0,340.0,0.0,30,MX,2045,CopiedFromTemplate_XY
INLHSTOR,22000.0,340.0,0.0,30,MX,2050,CopiedFromTemplate_XY
