country,node,type,carrier,bus,name,p_nom,p_nom_extendable,p_nom_max_2025,p_nom_max_2030,p_nom_max_2035,p_nom_max_2040,p_nom_max_2045,p_nom_max_2050,p_nom_min_2025,p_nom_min_2030,p_nom_min_2035,p_nom_min_2040,p_nom_min_2045,p_nom_min_2050
MX,MX_BCS_N52_LOS_CABOS,CSP,Solar,MX_BCS_N52_LOS_CABOS_HVELEC,MX_BCS_N52_LOS_CABOS_HVELEC_CSP,0.0,True,0,150,200.0,0,0,0,0,150,200.0,0,0,0
MX,MX_BCS_N50_VILLA_CONSTITUCION,GEOT,Geothermal,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_GEOT,0.0,True,0,0,26.0,0,0,0,0,0,26.0,0,0,0
MX,MX_BCS_N53_MULEGE,GEOT,Geothermal,MX_BCS_N53_MULEGE_HVELEC,MX_BCS_N53_MULEGE_HVELEC_GEOT,5.6,True,0,0,0.0,0,0,0,0,0,0.0,0,0,0
MX,MX_BCS_N50_VILLA_CONSTITUCION,PHOT,Solar,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_PHOT,53.63,True,0,0,0.37,0,0,0,0,0,0.37,0,0,0
MX,MX_BCS_N51_LA_PAZ,PHOT,Solar,MX_BCS_N51_LA_PAZ_HVELEC,MX_BCS_N51_LA_PAZ_HVELEC_PHOT,55.0,True,0,120,127.0,0,0,0,0,120,127.0,0,0,0
MX,MX_BCS_N52_LOS_CABOS,PHOT,Solar,MX_BCS_N52_LOS_CABOS_HVELEC,MX_BCS_N52_LOS_CABOS_HVELEC_PHOT,0.0,True,0,0,0.0,0,0,0,0,0,0.0,0,0,0
MX,MX_BCS_N53_MULEGE,PHOT,Solar,MX_BCS_N53_MULEGE_HVELEC,MX_BCS_N53_MULEGE_HVELEC_PHOT,1.0,True,0,0,0.0,0,0,0,0,0,0.0,0,0,0
MX,MX_BCS_N50_VILLA_CONSTITUCION,RTPV,Solar,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_RTPV,0.0,True,0,0,0.0,0,0,0,0,0,0.0,0,0,0
MX,MX_BCS_N51_LA_PAZ,RTPV,Solar,MX_BCS_N51_LA_PAZ_LVELEC,MX_BCS_N51_LA_PAZ_LVELEC_RTPV,0.0,True,0,0,0.0,0,0,0,0,0,0.0,0,0,0
MX,MX_BCS_N52_LOS_CABOS,RTPV,Solar,MX_BCS_N52_LOS_CABOS_LVELEC,MX_BCS_N52_LOS_CABOS_LVELEC_RTPV,0.0,True,0,0,0.0,0,0,0,0,0,0.0,0,0,0
MX,MX_BCS_N53_MULEGE,RTPV,Solar,MX_BCS_N53_MULEGE_LVELEC,MX_BCS_N53_MULEGE_LVELEC_RTPV,0.0,True,0,0,0.0,0,0,0,0,0,0.0,0,0,0
MX,MX_BCS_N51_LA_PAZ,WTON,Wind,MX_BCS_N51_LA_PAZ_HVELEC,MX_BCS_N51_LA_PAZ_HVELEC_WTON,50.4,True,0,60,137.0,0,0,0,0,60,137.0,0,0,0
