country,node,bus,profile_type,name,total_load__mwh,carrier,year
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,LV_LOAD,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_LV_LOAD,446791.3838,Electricity,2025
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_LVELEC,LV_LOAD,MX_BCS_N51_LA_PAZ_LVELEC_LV_LOAD,1212060.386,Electricity,2025
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_LVELEC,LV_LOAD,MX_BCS_N52_LOS_CABOS_LVELEC_LV_LOAD,2101101.973,Electricity,2025
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_LVELEC,LV_LOAD,MX_BCS_N53_MULEGE_LVELEC_LV_LOAD,188952.886,Electricity,2025
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,LV_LOAD,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_LV_LOAD,565066.7738,Electricity,2030
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_LVELEC,LV_LOAD,MX_BCS_N51_LA_PAZ_LVELEC_LV_LOAD,1383475.573,Electricity,2030
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_LVELEC,LV_LOAD,MX_BCS_N52_LOS_CABOS_LVELEC_LV_LOAD,2689368.336,Electricity,2030
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_LVELEC,LV_LOAD,MX_BCS_N53_MULEGE_LVELEC_LV_LOAD,239368.6976,Electricity,2030
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,LV_LOAD,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_LV_LOAD,713877.9149,Electricity,2035
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_LVELEC,LV_LOAD,MX_BCS_N51_LA_PAZ_LVELEC_LV_LOAD,1607373.233,Electricity,2035
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_LVELEC,LV_LOAD,MX_BCS_N52_LOS_CABOS_LVELEC_LV_LOAD,3443945.465,Electricity,2035
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_LVELEC,LV_LOAD,MX_BCS_N53_MULEGE_LVELEC_LV_LOAD,296279.7575,Electricity,2035
