country,node,bus,carrier
MX,MX_BCS,MX_GASN,Gas
MX,MX_BCS,MX_OILN,Oil
MX,MX_BCS,MX_ATMP,CO2
MX,MX_BCS,MX_CO2STORN,Co2stor
MX,MX_BCS,MX_COMBSTLN,Oil
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,Electricity
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,Electricity
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_HVELEC,Electricity
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_LVELEC,Electricity
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_HVELEC,Electricity
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_LVELEC,Electricity
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_HVELEC,Electricity
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_LVELEC,Electricity
MX,MX_BCS_N51_LA_PAZ,MX_BCS_N51_LA_PAZ_BATSN,Electricity
MX,MX_BCS_N50_VILLA_CONSTITUCION,MX_BCS_N50_VILLA_CONSTITUCION_BATSN,Electricity
MX,MX_BCS_N52_LOS_CABOS,MX_BCS_N52_LOS_CABOS_BATSN,Electricity
MX,MX_BCS_N53_MULEGE,MX_BCS_N53_MULEGE_BATSN,Electricity
