country,node,type,carrier,bus,name,p_nom,p_nom_extendable,p_nom_max_2025,p_nom_max_2030,p_nom_max_2035,p_nom_max_2040,p_nom_max_2045,p_nom_max_2050,p_nom_min_2025,p_nom_min_2030,p_nom_min_2035,p_nom_min_2040,p_nom_min_2045,p_nom_min_2050
MX,MX_BCS_N52_LOS_CABOS,CSP,Solar,MX_BCS_N52_LOS_CABOS_HVELEC,MX_BCS_N52_LOS_CABOS_HVELEC_CSP,0,True,0,0,0,0,0,0,0,0,0,0,0,0
MX,MX_BCS_N50_VILLA_CONSTITUCION,GEOT,Geothermal,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_GEOT,0,True,0,36,36,36,36,36,0,36,36,36,36,36
MX,MX_BCS_N53_MULEGE,GEOT,Geothermal,MX_BCS_N53_MULEGE_HVELEC,MX_BCS_N53_MULEGE_HVELEC_GEOT,5.6,True,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
MX,MX_BCS_N50_VILLA_CONSTITUCION,PHOT,Solar,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_PHOT,54,True,54,83.985658,194.215867,194.215867,194.215867,194.215867,54,83.985658,194.215867,194.215867,194.215867,194.215867
MX,MX_BCS_N51_LA_PAZ,PHOT,Solar,MX_BCS_N51_LA_PAZ_HVELEC,MX_BCS_N51_LA_PAZ_HVELEC_PHOT,55,True,55,114.255777,161.659158,161.659158,161.659158,161.659158,55,114.255777,161.659158,161.659158,161.659158,161.659158
MX,MX_BCS_N52_LOS_CABOS,PHOT,Solar,MX_BCS_N52_LOS_CABOS_HVELEC,MX_BCS_N52_LOS_CABOS_HVELEC_PHOT,0,True,0,85.592553,1122.585286,1122.585286,1122.585286,1122.585286,0,85.592553,1122.585286,1122.585286,1122.585286,1122.585286
MX,MX_BCS_N53_MULEGE,PHOT,Solar,MX_BCS_N53_MULEGE_HVELEC,MX_BCS_N53_MULEGE_HVELEC_PHOT,1,True,1,1,1,1,1,1,1,1,1,1,1,1
MX,MX_BCS_N50_VILLA_CONSTITUCION,RTPV,Solar,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC,MX_BCS_N50_VILLA_CONSTITUCION_LVELEC_RTPV,0,True,0,0,0,0,0,0,0,0,0,0,0,0
MX,MX_BCS_N51_LA_PAZ,RTPV,Solar,MX_BCS_N51_LA_PAZ_LVELEC,MX_BCS_N51_LA_PAZ_LVELEC_RTPV,0,True,0,0,0,0,0,0,0,0,0,0,0,0
MX,MX_BCS_N52_LOS_CABOS,RTPV,Solar,MX_BCS_N52_LOS_CABOS_LVELEC,MX_BCS_N52_LOS_CABOS_LVELEC_RTPV,0,True,0,0,0,0,0,0,0,0,0,0,0,0
MX,MX_BCS_N53_MULEGE,RTPV,Solar,MX_BCS_N53_MULEGE_LVELEC,MX_BCS_N53_MULEGE_LVELEC_RTPV,0,True,0,0,0,0,0,0,0,0,0,0,0,0
MX,MX_BCS_N51_LA_PAZ,WTON,Wind,MX_BCS_N51_LA_PAZ_HVELEC,MX_BCS_N51_LA_PAZ_HVELEC_WTON,50.4,True,50.4,97.672452,1022.328532,1022.328532,1022.328532,1022.328532,50.4,97.672452,1022.328532,1022.328532,1022.328532,1022.328532
